,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,raudeberg,-17.7125,-39.2481,76.95,86,100,6.96,BR,1638897838
299,barentsburg,63.2842,118.3319,-29.67,100,30,2.55,RU,1638897840
300,tabiauea,-16.3494,-53.7583,86.18,57,34,5.1,BR,1638897842
301,cayenne,28.419,30.7792,65.39,28,100,11.95,EG,1638897843
302,cuenca,18.0072,-65.8993,87.48,75,44,14.58,PR,1638897845
303,poronaysk,64.1835,-51.7216,18.21,53,20,12.66,GL,1638897849
304,tayu,5.2052,-4.4146,85.91,74,57,8.25,CI,1638897850
305,ancud,45.6573,-68.7098,33.35,40,1,11.5,US,1638897607
306,santa maria,37.755,39.3167,48.81,46,100,4.27,TR,1638897855
307,ngukurr,-34.0033,24.7314,62.89,76,84,5.03,ZA,1638897860
308,mocuba,1.3292,172.9752,82.4,78,20,10.36,KI,1638897862
309,tura,57.4642,9.9823,35.08,90,88,10.65,DK,1638897864
310,boone,61.67,96.37,5.65,98,100,1.57,RU,1638897866
311,pangnirtung,-23.7,133.8833,72.95,68,88,5.75,AU,1638897845
312,samut sakhon,22.6783,-3.9836,72.86,14,64,14.61,ML,1638897870
313,vershino-darasunskiy,19.385,-99.165,66.99,42,1,1.01,MX,1638897875
314,ust-koksa,26.2333,92.5167,65.25,95,2,3.87,IN,1638897877
315,bokspits,20.1986,1.0114,81.01,11,10,2.8,ML,1638897879
316,hailar,-20.3167,118.5667,82.45,83,66,6.91,AU,1638897582
317,rexburg,66.5,25.7167,4.41,78,0,10.36,FI,1638897883
318,bida,-16.4833,-151.75,80.73,71,95,6.76,PF,1638897885
319,terra santa,-0.6136,-47.3561,81.97,82,82,10.74,BR,1638897887
320,san quintin,49.1447,56.4872,25.43,83,13,11.18,KZ,1638897889
321,ewa beach,34.5686,105.8933,34.81,98,100,0.69,CN,1638897891
322,matale,-20.7189,-46.6097,78.64,57,34,4.7,BR,1638897893
323,okha,46.4856,135.8833,5.9,91,11,4.81,RU,1638897895
324,ponta do sol,-28.45,18.7333,89.98,14,1,15.64,NA,1638897899
325,leh,44.5875,-1.0519,53.65,94,75,19.57,FR,1638897901
326,margate,-6.1349,12.3689,84.25,84,57,8.25,AO,1638897909
327,caravelas,45.0205,-93.218,16.25,82,90,3,US,1638897911
328,nyurba,-2.2717,40.902,80.28,77,84,10.51,KE,1638897912
329,guiratinga,48.0056,91.6419,19.9,64,52,4.45,MN,1638897914
330,matay,-30.7414,30.455,70.75,77,100,8.72,ZA,1638897917
331,maunabo,34.2284,-92.0032,44.71,52,90,10,US,1638897720
332,sumbawa,5.6083,-3.1563,84.24,66,100,6.11,CI,1638897921
333,nuuk,14.4,46.4667,64.89,24,2,2.89,YE,1638897923
334,jacqueville,60.8156,-115.7999,-13.02,70,40,5.75,CA,1638897925
335,millinocket,59.7,150.1667,-11.2,98,67,6.69,RU,1638897926
336,siverek,40.4272,71.7189,42.22,75,98,4.61,UZ,1638897929
